molecule_id,standardized_inchikey,endpoint_name,functional_mode,aggregated_pactivity,measurement_count,assay_count,primary_document_count,interassay_sd,interassay_mad,minimum_pactivity,maximum_pactivity,high_disagreement_flag,development_partition,external_eligibility,review_status
CHEMBL225459,OXLUZSPXALFOBX-NVQRDWNXSA-N,pFunc_agonism,agonist,7.400000,1,1,1,,0.000000,7.400000,7.400000,False,development,False,admitted_exploratory
CHEMBL2382434,QMBOZLGNPMVERZ-UHFFFAOYSA-N,pBind_Ki,,7.400000,1,1,1,,0.000000,7.400000,7.400000,False,development,False,admitted_exploratory
CHEMBL259105,XICBEZUAIRPALD-UHFFFAOYSA-N,pBind_Ki,,6.370000,1,1,1,,0.000000,6.370000,6.370000,False,locked_holdout,False,admitted_exploratory
CHEMBL259580,SLHFRTFEGMLRBP-UHFFFAOYSA-N,pBind_Ki,,6.330000,1,1,1,,0.000000,6.330000,6.330000,False,development,False,admitted_exploratory
CHEMBL261482,MYNRELUCFAQMFC-QRIDJOKKSA-N,pBind_Ki,,7.300000,2,2,2,0.000000,0.000000,7.300000,7.300000,False,development,False,admitted_exploratory
CHEMBL261482,MYNRELUCFAQMFC-QRIDJOKKSA-N,pFunc_agonism,agonist,7.640000,1,1,1,,0.000000,7.640000,7.640000,False,development,False,admitted_exploratory
CHEMBL270654,ZKEREZNJKGRMFY-UHFFFAOYSA-N,pBind_Ki,,9.000000,1,1,1,,0.000000,9.000000,9.000000,False,development,False,admitted_exploratory
CHEMBL270654,ZKEREZNJKGRMFY-UHFFFAOYSA-N,pFunc_inhibition,antagonist,7.000000,1,1,1,,0.000000,7.000000,7.000000,False,development,False,admitted_exploratory
CHEMBL294223,NHADJLJUOVTRKS-UHFFFAOYSA-N,pBind_Ki,,5.450000,1,1,1,,0.000000,5.450000,5.450000,False,development,False,admitted_exploratory
CHEMBL3235280,DMDJTLNTJHFQMG-UHFFFAOYSA-N,pFunc_agonism,agonist,8.520000,1,1,1,,0.000000,8.520000,8.520000,False,development,False,admitted_exploratory
CHEMBL3317574,QXNZRRSDCMNJDB-UHFFFAOYSA-N,pBind_Ki,,7.260000,2,2,2,0.000000,0.000000,7.260000,7.260000,False,development,False,admitted_exploratory
CHEMBL3317574,QXNZRRSDCMNJDB-UHFFFAOYSA-N,pBind_Ki,antagonist,7.260000,1,1,1,,0.000000,7.260000,7.260000,False,development,False,admitted_exploratory
CHEMBL3317574,QXNZRRSDCMNJDB-UHFFFAOYSA-N,pFunc_inhibition,antagonist,6.370000,1,1,1,,0.000000,6.370000,6.370000,False,development,False,admitted_exploratory
CHEMBL3335523,FDVZSKDDSYLYNX-YRIIQKNPSA-N,pBind_Ki,,7.640000,1,1,1,,0.000000,7.640000,7.640000,False,development,False,admitted_exploratory
CHEMBL3335523,FDVZSKDDSYLYNX-YRIIQKNPSA-N,pFunc_agonism,agonist,8.230000,1,1,1,,0.000000,8.230000,8.230000,False,development,False,admitted_exploratory
CHEMBL3414573,CBDPEPRMHBCTEB-QPXQOZNCSA-N,pBind_Ki,,7.580000,1,1,1,,0.000000,7.580000,7.580000,False,development,False,admitted_exploratory
CHEMBL3414573,CBDPEPRMHBCTEB-QPXQOZNCSA-N,pFunc_agonism,agonist,7.420000,1,1,1,,0.000000,7.420000,7.420000,False,development,False,admitted_exploratory
CHEMBL3414940,DEVAFUMPTPLYOY-BQVMBELUSA-N,pBind_Ki,,6.935000,2,2,2,0.134350,0.095000,6.840000,7.030000,False,development,False,admitted_exploratory
CHEMBL3414940,DEVAFUMPTPLYOY-BQVMBELUSA-N,pFunc_agonism,agonist,7.840000,2,2,2,0.240416,0.170000,7.670000,8.010000,False,development,False,admitted_exploratory
CHEMBL3414941,IRRXNCFETDOCCQ-AEISUSGSSA-N,pBind_Ki,,6.885000,2,2,2,0.459619,0.325000,6.560000,7.210000,False,development,False,admitted_exploratory
CHEMBL3414941,IRRXNCFETDOCCQ-AEISUSGSSA-N,pFunc_agonism,agonist,7.975000,2,2,2,0.431335,0.305000,7.670000,8.280000,False,development,False,admitted_exploratory
CHEMBL3414946,SLEKQRJDUVSCPY-MOROJQBDSA-N,pBind_Ki,,7.110000,1,1,1,,0.000000,7.110000,7.110000,False,development,False,admitted_exploratory
CHEMBL3414946,SLEKQRJDUVSCPY-MOROJQBDSA-N,pFunc_agonism,agonist,8.080000,1,1,1,,0.000000,8.080000,8.080000,False,development,False,admitted_exploratory
CHEMBL3416776,APKBJUYYYJBSCQ-CMCWBKRRSA-N,pBind_Ki,,6.620000,1,1,1,,0.000000,6.620000,6.620000,False,development,False,admitted_exploratory
CHEMBL3416776,APKBJUYYYJBSCQ-CMCWBKRRSA-N,pFunc_agonism,agonist,6.360000,1,1,1,,0.000000,6.360000,6.360000,False,development,False,admitted_exploratory
CHEMBL3416777,KOEBHQWXJSXWRR-CMCWBKRRSA-N,pBind_Ki,,6.180000,1,1,1,,0.000000,6.180000,6.180000,False,locked_holdout,False,admitted_exploratory
CHEMBL3416777,KOEBHQWXJSXWRR-CMCWBKRRSA-N,pFunc_agonism,agonist,6.080000,1,1,1,,0.000000,6.080000,6.080000,False,locked_holdout,False,admitted_exploratory
CHEMBL3416778,GLQXBKNCFOACJO-UGCAPWQASA-N,pBind_Ki,,6.010000,1,1,1,,0.000000,6.010000,6.010000,False,locked_holdout,False,admitted_exploratory
CHEMBL3416778,GLQXBKNCFOACJO-UGCAPWQASA-N,pFunc_agonism,agonist,5.750000,1,1,1,,0.000000,5.750000,5.750000,False,locked_holdout,False,admitted_exploratory
CHEMBL3416805,BMVQYTBZDSZAEL-NLJXWPIHSA-N,pBind_Ki,,6.130000,1,1,1,,0.000000,6.130000,6.130000,False,locked_holdout,False,admitted_exploratory
CHEMBL3416810,GDLSEFIWYFWPFI-YRIIQKNPSA-N,pBind_Ki,,7.790000,1,1,1,,0.000000,7.790000,7.790000,False,development,False,admitted_exploratory
